satisfaction,evaluation,number_of_projects,average_montly_hours,time_spend_company,work_accident,churn,promotion,department,salary
0.41,520.0,two,132.0,3+,no,yes,no,RandD,low
0.72,1000.0,two,240.0,2+,no,yes,no,RandD,low
0.44,550.0,two,137.0,3+,no,yes,no,RandD,low
0.38,500.0,two,139.0,3+,no,yes,no,RandD,low
0.46,520.0,two,148.0,3+,no,yes,no,RandD,low
0.4,490.0,two,149.0,3+,no,yes,no,marketing,low
0.45,450.0,two,131.0,3+,no,yes,no,sales,low
0.89,890.0,five,262.0,5+,no,yes,no,accounting,low
0.1,970.0,seven,284.0,4+,no,yes,no,support,low
0.46,480.0,two,161.0,3+,no,yes,no,technical,low
0.09,780.0,seven,290.0,4+,no,yes,no,management,low
0.45,570.0,two,149.0,3+,no,yes,no,marketing,low
0.89,980.0,four,242.0,6+,no,yes,no,marketing,low
0.62,770.0,five,227.0,4+,no,yes,no,marketing,low
0.11,930.0,six,276.0,4+,no,yes,no,sales,low
0.44,500.0,two,135.0,3+,no,yes,no,sales,low
0.09,940.0,six,266.0,4+,no,yes,no,sales,medium
0.56,750.0,five,236.0,2+,no,yes,no,sales,medium
0.77,890.0,four,270.0,5+,no,yes,no,sales,medium
0.39,490.0,two,146.0,3+,no,yes,no,sales,medium
0.1,920.0,five,272.0,4+,no,yes,no,sales,medium
0.72,850.0,five,246.0,5+,no,yes,no,sales,medium
0.4,520.0,two,136.0,3+,no,yes,no,sales,medium
0.11,810.0,six,260.0,4+,no,yes,no,sales,medium
0.88,1000.0,five,247.0,5+,no,yes,no,sales,medium
0.37,510.0,two,127.0,3+,no,yes,no,sales,medium
0.11,960.0,six,267.0,4+,no,yes,no,sales,medium
0.4,520.0,two,143.0,3+,no,yes,no,sales,medium
0.1,860.0,six,306.0,4+,no,yes,no,sales,high
0.62,890.0,three,131.0,4+,no,yes,no,sales,low
0.78,860.0,four,249.0,5+,no,yes,no,sales,medium
0.37,520.0,two,144.0,3+,no,yes,no,sales,medium
0.76,820.0,,254.0,5+,yes,yes,no,sales,medium
0.42,530.0,two,131.0,3+,no,yes,no,accounting,medium
0.1,770.0,six,272.0,4+,no,yes,no,accounting,low
0.42,470.0,two,157.0,3+,no,yes,no,accounting,low
0.1,960.0,seven,301.0,4+,no,yes,no,hr,low
0.1,810.0,six,252.0,4+,no,yes,no,hr,low
0.42,470.0,two,130.0,3+,no,yes,no,hr,low
0.09,860.0,six,297.0,4+,no,yes,no,hr,low
0.1,800.0,six,248.0,4+,no,yes,no,technical,low
0.11,890.0,seven,257.0,4+,no,yes,no,technical,low
0.44,530.0,two,147.0,3+,no,yes,no,technical,low
0.87,900.0,three,307.0,5+,no,yes,no,technical,low
0.44,460.0,two,154.0,3+,no,yes,no,technical,low
0.41,560.0,two,143.0,3+,no,yes,no,technical,low
0.51,790.0,four,134.0,3+,no,yes,no,technical,low
0.89,960.0,five,221.0,5+,no,yes,no,technical,low
0.1,960.0,six,275.0,4+,no,yes,no,technical,low
0.9,940.0,five,247.0,5+,no,yes,no,technical,low
0.36,550.0,two,131.0,3+,no,yes,no,technical,low
0.44,540.0,two,150.0,3+,no,yes,no,support,low
0.39,570.0,two,150.0,3+,no,yes,no,support,low
0.38,1000.0,five,137.0,4+,no,yes,no,support,low
0.73,950.0,four,223.0,6+,no,yes,no,support,low
0.1,960.0,six,292.0,4+,no,yes,no,support,medium
0.89,830.0,five,130.0,4+,yes,yes,no,support,medium
0.87,850.0,five,221.0,6+,no,yes,no,support,medium
0.84,890.0,four,245.0,5+,yes,yes,no,support,medium
0.11,770.0,six,274.0,4+,no,yes,no,support,medium
0.74,1000.0,five,248.0,5+,no,yes,no,support,medium
0.79,970.0,four,243.0,5+,no,yes,no,support,medium
0.1,920.0,seven,273.0,4+,no,yes,no,technical,medium
0.83,950.0,five,221.0,5+,no,yes,no,technical,medium
0.1,790.0,six,271.0,4+,no,yes,no,technical,medium
0.45,500.0,two,157.0,3+,no,yes,no,management,medium
0.29,480.0,two,249.0,4+,no,yes,no,IT,medium
0.46,460.0,two,145.0,3+,no,yes,no,IT,high
0.11,830.0,six,262.0,5+,no,yes,no,IT,low
0.75,890.0,five,272.0,5+,no,yes,no,IT,medium
0.4,500.0,two,129.0,3+,no,yes,no,IT,medium
0.37,460.0,two,134.0,3+,no,yes,no,product_mng,medium
0.41,520.0,two,147.0,3+,no,yes,no,product_mng,medium
0.1,830.0,six,293.0,4+,no,yes,no,product_mng,low
0.39,520.0,two,129.0,3+,no,yes,no,product_mng,low
0.4,450.0,two,140.0,3+,no,yes,no,IT,low
0.41,520.0,two,132.0,3+,no,yes,no,RandD,low
0.11,890.0,six,284.0,4+,no,yes,no,RandD,low
0.74,990.0,five,263.0,5+,no,yes,no,RandD,low
0.42,460.0,two,143.0,3+,no,yes,no,RandD,low
0.88,880.0,four,265.0,5+,no,yes,no,RandD,low
0.37,530.0,two,147.0,3+,no,yes,no,RandD,low
0.78,810.0,four,253.0,5+,no,yes,no,marketing,low
0.46,500.0,two,141.0,3+,no,yes,no,sales,low
0.74,1000.0,five,222.0,6+,no,yes,no,accounting,low
0.11,860.0,six,273.0,4+,yes,yes,no,support,low
0.8,870.0,five,240.0,6+,no,yes,no,technical,low
0.37,480.0,two,154.0,3+,no,yes,no,management,low
0.87,920.0,four,253.0,6+,no,yes,no,marketing,low
0.9,840.0,five,221.0,5+,no,yes,no,marketing,low
0.1,880.0,six,263.0,4+,no,yes,no,marketing,low
0.43,460.0,two,145.0,3+,no,yes,no,sales,low
0.11,910.0,six,279.0,4+,no,yes,no,sales,low
0.4,460.0,two,146.0,3+,no,yes,no,sales,low
0.09,930.0,seven,270.0,4+,no,yes,no,sales,medium
0.4,500.0,two,135.0,3+,no,yes,no,sales,medium
0.14,700.0,five,236.0,3+,no,yes,no,sales,medium
0.4,490.0,two,151.0,3+,no,yes,no,sales,medium
0.11,790.0,six,244.0,4+,yes,yes,no,sales,medium
0.72,1000.0,four,169.0,3+,no,yes,no,sales,medium
0.39,570.0,two,157.0,3+,no,yes,no,sales,medium
0.82,930.0,four,246.0,5+,no,yes,no,sales,medium
0.41,520.0,two,142.0,3+,no,yes,no,sales,medium
0.45,510.0,two,156.0,3+,no,yes,no,sales,medium
0.2,700.0,six,281.0,5+,no,yes,no,sales,medium
0.43,530.0,two,146.0,3+,no,yes,no,sales,medium
0.39,550.0,two,156.0,3+,no,yes,no,sales,high
0.11,860.0,six,299.0,4+,yes,yes,no,sales,low
0.45,470.0,two,136.0,3+,no,yes,no,sales,medium
0.11,870.0,six,272.0,4+,no,yes,no,sales,medium
0.84,860.0,five,240.0,5+,no,yes,no,accounting,medium
0.86,960.0,five,245.0,6+,no,yes,no,accounting,medium
0.79,930.0,five,269.0,5+,no,yes,no,accounting,low
0.39,570.0,two,130.0,3+,no,yes,no,hr,low
0.15,620.0,four,257.0,3+,no,yes,no,hr,low
0.81,1000.0,four,241.0,5+,no,yes,no,hr,low
0.39,530.0,two,136.0,3+,no,yes,no,hr,low
0.92,940.0,four,219.0,5+,no,yes,no,technical,low
0.9,980.0,five,271.0,5+,no,yes,no,technical,low
0.32,600.0,two,280.0,4+,no,yes,no,technical,low
0.46,460.0,two,140.0,3+,no,yes,no,technical,low
0.83,980.0,four,254.0,5+,no,yes,no,technical,low
0.39,470.0,two,131.0,3+,no,yes,no,technical,low
0.2,900.0,six,138.0,3+,no,yes,no,technical,low
0.11,850.0,six,295.0,4+,no,yes,no,technical,low
0.11,960.0,six,301.0,5+,no,yes,no,technical,low
0.1,950.0,seven,296.0,4+,no,yes,no,technical,low
0.75,870.0,five,246.0,5+,no,yes,no,technical,low
0.44,570.0,two,145.0,3+,no,yes,no,support,low
0.86,930.0,five,241.0,5+,yes,yes,no,support,low
0.1,820.0,six,269.0,4+,no,yes,no,support,low
0.39,490.0,two,146.0,3+,no,yes,no,support,low
0.45,480.0,two,149.0,3+,no,yes,no,support,low
0.1,940.0,seven,287.0,4+,no,yes,no,support,medium
0.36,550.0,two,138.0,3+,no,yes,no,support,medium
0.57,610.0,four,158.0,5+,no,yes,no,support,medium
0.09,870.0,six,266.0,4+,no,yes,no,support,medium
0.87,910.0,four,255.0,5+,no,yes,no,support,medium
0.43,520.0,two,156.0,3+,no,yes,no,support,medium
0.36,500.0,two,147.0,3+,no,yes,no,technical,medium
0.91,990.0,five,265.0,5+,yes,yes,no,technical,medium
0.41,480.0,two,136.0,3+,no,yes,no,technical,medium
0.37,520.0,two,140.0,3+,no,yes,no,management,medium
0.43,450.0,two,146.0,3+,no,yes,no,IT,medium
0.43,570.0,two,142.0,3+,no,yes,no,IT,medium
0.4,530.0,two,155.0,3+,no,yes,no,IT,high
0.1,890.0,seven,285.0,4+,no,yes,no,IT,low
0.76,990.0,four,253.0,5+,yes,yes,no,IT,medium
0.82,930.0,four,248.0,5+,no,yes,no,product_mng,medium
0.11,830.0,seven,255.0,5+,no,yes,no,product_mng,medium
0.43,520.0,two,154.0,3+,yes,yes,no,product_mng,medium
0.11,880.0,seven,305.0,4+,no,yes,no,product_mng,low
0.41,480.0,two,141.0,3+,no,yes,no,IT,low
0.73,870.0,five,252.0,5+,no,yes,no,RandD,low
0.37,570.0,two,157.0,3+,no,yes,no,RandD,low
0.11,890.0,six,250.0,4+,no,yes,no,RandD,low
0.46,520.0,two,131.0,3+,no,yes,no,RandD,low
0.41,500.0,two,149.0,3+,no,yes,no,RandD,low
0.78,780.0,four,260.0,5+,no,yes,no,RandD,low
0.78,860.0,five,260.0,6+,no,yes,no,marketing,low
0.72,860.0,five,251.0,5+,no,yes,no,sales,low
0.63,830.0,six,242.0,5+,no,yes,no,accounting,low
0.55,1000.0,six,136.0,3+,no,yes,no,support,low
0.45,550.0,two,155.0,3+,no,yes,no,technical,low
0.39,510.0,two,155.0,3+,no,yes,no,management,low
0.1,810.0,six,248.0,4+,no,yes,no,marketing,low
0.4,500.0,two,136.0,3+,no,yes,no,marketing,low
0.39,540.0,two,133.0,3+,no,yes,no,marketing,low
0.78,450.0,four,128.0,2+,no,yes,no,sales,low
0.42,530.0,two,142.0,3+,no,yes,no,sales,low
0.39,540.0,two,149.0,3+,no,yes,no,sales,low
0.46,570.0,two,145.0,3+,no,yes,no,sales,low
0.1,920.0,six,279.0,4+,no,yes,no,sales,medium
0.45,470.0,two,146.0,3+,no,yes,no,sales,medium
0.1,830.0,six,264.0,4+,yes,yes,no,sales,medium
0.1,890.0,seven,272.0,4+,no,yes,no,sales,medium
0.78,860.0,five,256.0,5+,no,yes,no,sales,medium
0.4,650.0,two,296.0,5+,no,yes,no,sales,medium
0.45,510.0,two,155.0,3+,yes,yes,no,sales,medium
0.39,560.0,two,130.0,3+,no,yes,no,sales,medium
0.43,480.0,two,157.0,3+,no,yes,no,sales,medium
0.09,960.0,six,245.0,4+,no,yes,no,sales,medium
0.79,860.0,five,226.0,5+,no,yes,no,sales,medium
0.44,470.0,two,156.0,3+,yes,yes,no,sales,medium
0.79,950.0,five,228.0,5+,no,yes,no,sales,high
0.38,460.0,two,155.0,3+,no,yes,no,sales,low
0.36,560.0,two,159.0,3+,no,yes,no,sales,medium
0.39,570.0,two,142.0,3+,no,yes,no,accounting,medium
0.09,930.0,six,271.0,4+,no,yes,no,accounting,medium
0.16,650.0,four,277.0,5+,no,yes,no,accounting,medium
0.09,770.0,six,310.0,4+,no,yes,no,hr,low
0.11,870.0,six,254.0,4+,no,yes,no,hr,low
0.44,560.0,two,142.0,3+,no,yes,no,hr,low
0.11,880.0,seven,253.0,4+,no,yes,no,hr,low
0.11,970.0,six,260.0,4+,no,yes,no,technical,low
0.45,520.0,two,147.0,3+,no,yes,no,technical,low
0.1,960.0,seven,288.0,4+,no,yes,no,technical,low
0.4,460.0,two,160.0,3+,no,yes,no,technical,low
0.38,550.0,two,130.0,3+,no,yes,no,technical,low
0.39,560.0,two,133.0,3+,no,yes,no,technical,low
0.38,550.0,two,160.0,3+,no,yes,no,technical,low
0.38,450.0,two,151.0,3+,no,yes,no,technical,low
0.17,750.0,three,188.0,4+,no,yes,no,technical,low
0.79,840.0,five,247.0,5+,no,yes,no,technical,low
0.1,850.0,seven,259.0,4+,no,yes,no,technical,low
0.37,480.0,two,129.0,3+,no,yes,no,support,low
0.42,490.0,two,152.0,3+,no,yes,no,support,low
0.44,480.0,two,128.0,3+,no,yes,no,support,low
0.11,830.0,six,253.0,4+,no,yes,no,support,low
0.39,480.0,two,151.0,3+,no,yes,no,support,low
0.1,830.0,five,271.0,5+,no,yes,no,support,low
0.4,460.0,two,155.0,3+,no,yes,no,support,medium
0.86,910.0,five,245.0,5+,no,yes,no,support,medium
0.37,460.0,two,157.0,3+,no,yes,no,support,medium
0.4,510.0,two,160.0,3+,no,yes,no,support,medium
0.43,480.0,two,149.0,3+,no,yes,no,support,medium
0.88,880.0,five,248.0,5+,no,yes,no,technical,medium
0.44,520.0,two,128.0,3+,no,yes,no,technical,medium
0.87,1000.0,four,224.0,5+,no,yes,no,technical,medium
0.4,460.0,two,156.0,3+,no,yes,no,management,medium
0.45,520.0,two,143.0,3+,no,yes,no,IT,medium
0.84,930.0,four,250.0,5+,no,yes,no,IT,medium
0.1,680.0,three,179.0,3+,no,yes,no,IT,medium
0.72,990.0,five,257.0,5+,no,yes,no,IT,high
0.4,500.0,two,127.0,3+,no,yes,no,IT,low
0.45,500.0,two,145.0,3+,no,yes,no,product_mng,medium
0.89,980.0,five,274.0,5+,no,yes,no,product_mng,medium
0.4,550.0,two,131.0,3+,no,yes,no,product_mng,medium
0.38,530.0,two,136.0,3+,no,yes,no,product_mng,medium
0.38,470.0,two,140.0,3+,yes,yes,no,IT,low
0.1,820.0,seven,265.0,4+,no,yes,no,RandD,low
0.42,480.0,two,148.0,3+,yes,yes,no,RandD,low
0.74,860.0,five,262.0,5+,no,yes,no,RandD,low
0.1,800.0,six,261.0,4+,no,yes,no,RandD,low
0.82,900.0,five,248.0,5+,no,yes,no,RandD,low
0.38,550.0,two,131.0,3+,no,yes,no,marketing,low
0.41,560.0,two,160.0,3+,no,yes,no,sales,low
0.4,470.0,two,152.0,3+,no,yes,no,accounting,low
0.83,980.0,four,249.0,5+,no,yes,no,support,low
0.36,570.0,two,144.0,3+,no,yes,no,technical,low
0.75,980.0,four,245.0,5+,no,yes,no,management,low
0.44,530.0,two,146.0,3+,no,yes,no,marketing,low
0.1,940.0,six,297.0,5+,no,yes,no,marketing,low
0.39,520.0,two,148.0,3+,yes,yes,no,marketing,low
0.09,840.0,seven,260.0,4+,no,yes,no,sales,low
0.4,570.0,two,152.0,3+,no,yes,no,sales,low
0.41,540.0,two,135.0,3+,no,yes,no,sales,low
0.83,920.0,four,235.0,5+,no,yes,no,sales,low
0.42,470.0,two,145.0,3+,no,yes,no,sales,low
0.61,460.0,five,220.0,4+,no,yes,no,sales,low
0.44,520.0,two,128.0,3+,no,yes,no,sales,medium
0.77,810.0,five,237.0,5+,no,yes,no,sales,medium
0.81,950.0,four,275.0,5+,no,yes,no,sales,medium
0.1,780.0,six,310.0,4+,no,yes,no,sales,medium
0.73,840.0,five,251.0,6+,no,yes,no,sales,medium
0.09,830.0,six,250.0,4+,no,yes,no,sales,medium
0.9,990.0,four,259.0,6+,no,yes,no,sales,medium
0.88,1000.0,four,259.0,5+,no,yes,no,sales,medium
0.09,870.0,seven,305.0,4+,no,yes,no,sales,medium
0.4,560.0,two,130.0,3+,yes,yes,no,sales,medium
0.17,550.0,six,250.0,5+,no,yes,no,sales,medium
0.82,820.0,five,220.0,6+,no,yes,no,sales,medium
0.9,830.0,four,266.0,5+,no,yes,no,sales,high
0.83,920.0,,255.0,5+,no,yes,no,accounting,low
0.44,500.0,two,154.0,3+,no,yes,no,accounting,medium
0.5,850.0,four,138.0,3+,no,yes,no,accounting,medium
0.14,610.0,six,291.0,5+,no,yes,no,hr,medium
0.77,820.0,four,217.0,5+,no,yes,no,hr,medium
0.09,830.0,six,286.0,4+,no,yes,no,hr,low
0.11,880.0,six,290.0,4+,no,yes,no,hr,low
0.44,570.0,two,148.0,3+,no,yes,no,technical,low
0.43,520.0,two,146.0,3+,no,yes,no,technical,low
0.12,800.0,five,136.0,2+,no,yes,no,technical,low
0.1,860.0,seven,261.0,5+,no,yes,no,technical,low
0.1,960.0,six,274.0,4+,no,yes,no,technical,low
0.4,480.0,two,132.0,3+,no,yes,no,technical,low
0.41,470.0,two,145.0,3+,no,yes,no,technical,low
0.37,480.0,two,153.0,3+,no,yes,no,technical,low
0.4,480.0,two,139.0,3+,no,yes,no,technical,low
0.74,960.0,four,231.0,5+,no,yes,no,technical,low
0.39,480.0,two,154.0,3+,no,yes,no,technical,low
0.11,900.0,five,307.0,4+,no,yes,no,support,low
0.36,510.0,two,129.0,3+,no,yes,no,support,low
0.8,830.0,five,275.0,5+,no,yes,no,support,low
0.6,850.0,three,250.0,2+,no,yes,no,support,low
0.36,540.0,two,158.0,3+,no,yes,no,support,low
0.1,960.0,six,310.0,5+,no,yes,no,support,low
0.65,860.0,two,181.0,2+,no,yes,no,support,low
0.49,730.0,four,244.0,3+,no,yes,no,support,low
0.73,960.0,five,256.0,6+,yes,yes,no,support,medium
0.11,800.0,six,259.0,5+,no,yes,no,support,medium
0.73,910.0,four,247.0,5+,no,yes,no,support,medium
0.43,460.0,two,129.0,3+,no,yes,no,technical,medium
0.73,930.0,five,229.0,5+,no,yes,no,technical,medium
0.76,850.0,five,236.0,6+,no,yes,no,technical,medium
0.09,960.0,six,281.0,4+,no,yes,no,management,medium
0.9,810.0,five,264.0,5+,no,yes,no,IT,medium
0.1,810.0,six,308.0,4+,no,yes,no,IT,medium
0.43,480.0,two,147.0,3+,no,yes,no,IT,medium
0.41,550.0,two,159.0,3+,no,yes,no,IT,medium
0.41,570.0,two,154.0,3+,no,yes,no,IT,medium
0.1,870.0,six,307.0,4+,no,yes,no,product_mng,high
0.4,460.0,two,132.0,3+,no,yes,no,product_mng,low
0.4,530.0,two,152.0,3+,no,yes,no,product_mng,medium
0.36,480.0,five,310.0,3+,no,yes,no,product_mng,medium
0.83,950.0,five,230.0,5+,no,yes,no,IT,medium
0.83,940.0,five,273.0,5+,no,yes,no,RandD,medium
0.41,510.0,two,144.0,3+,no,yes,no,RandD,low
0.11,930.0,seven,296.0,4+,no,yes,no,RandD,low
0.68,620.0,five,198.0,5+,yes,yes,no,RandD,low
0.43,530.0,two,157.0,3+,no,yes,no,RandD,low
0.44,510.0,two,145.0,3+,no,yes,no,marketing,low
0.87,940.0,five,219.0,5+,no,yes,no,marketing,low
0.43,540.0,two,153.0,3+,no,yes,no,sales,low
0.89,480.0,three,178.0,5+,no,yes,no,accounting,low
0.83,880.0,five,239.0,5+,no,yes,no,support,low
0.11,870.0,six,278.0,5+,no,yes,no,technical,low
0.85,1000.0,six,260.0,3+,yes,yes,no,management,low
0.89,970.0,four,264.0,5+,no,yes,no,marketing,low
0.09,920.0,seven,301.0,4+,no,yes,no,marketing,low
0.43,550.0,four,134.0,3+,no,yes,no,marketing,low
0.42,460.0,two,147.0,3+,no,yes,no,sales,low
0.43,540.0,two,130.0,3+,no,yes,no,sales,low
0.1,930.0,six,307.0,4+,no,yes,no,sales,low
0.37,460.0,two,156.0,3+,no,yes,no,sales,low
0.76,980.0,four,237.0,5+,no,yes,no,sales,low
0.88,890.0,four,254.0,5+,no,yes,no,sales,low
0.39,480.0,two,151.0,3+,no,yes,no,sales,low
0.45,540.0,two,131.0,3+,no,yes,no,sales,medium
0.91,950.0,five,241.0,5+,no,yes,no,sales,medium
0.86,850.0,five,267.0,5+,no,yes,no,sales,medium
0.39,530.0,two,153.0,3+,no,yes,no,sales,medium
0.89,1000.0,four,217.0,5+,no,yes,no,sales,medium
0.11,860.0,six,254.0,4+,no,yes,no,sales,medium
0.1,870.0,six,265.0,5+,no,yes,no,sales,medium
0.38,570.0,two,146.0,3+,no,yes,no,sales,medium
0.4,540.0,two,156.0,3+,no,yes,no,sales,medium
0.86,970.0,five,269.0,5+,no,yes,no,sales,medium
0.1,860.0,six,288.0,4+,no,yes,no,sales,medium
0.1,850.0,six,283.0,4+,no,yes,no,sales,medium
0.42,500.0,two,128.0,3+,no,yes,no,accounting,high
0.36,460.0,two,130.0,3+,no,yes,no,accounting,low
0.39,480.0,two,127.0,3+,no,yes,no,accounting,medium
0.43,470.0,two,137.0,3+,no,yes,no,hr,medium
0.36,490.0,two,133.0,3+,no,yes,no,hr,medium
0.09,910.0,six,275.0,4+,no,yes,no,hr,medium
0.42,550.0,two,146.0,3+,no,yes,no,hr,low
0.42,460.0,two,135.0,3+,no,yes,no,technical,low
0.91,890.0,five,217.0,5+,no,yes,no,technical,low
0.41,560.0,two,154.0,3+,no,yes,no,technical,low
0.11,780.0,six,247.0,4+,no,yes,no,technical,low
0.09,830.0,six,295.0,5+,no,yes,no,technical,low
0.83,1000.0,five,224.0,5+,no,yes,no,technical,low
0.11,780.0,six,281.0,4+,no,yes,no,technical,low
0.1,930.0,seven,258.0,4+,no,yes,no,technical,low
0.42,550.0,two,150.0,3+,no,yes,no,technical,low
0.1,970.0,seven,282.0,4+,no,yes,no,technical,low
0.38,510.0,two,138.0,3+,no,yes,no,technical,low
0.77,980.0,four,238.0,6+,no,yes,no,support,low
0.11,850.0,seven,244.0,4+,no,yes,no,support,low
0.87,970.0,five,250.0,6+,no,yes,no,support,low
0.1,880.0,seven,282.0,4+,no,yes,no,support,low
0.1,890.0,seven,253.0,4+,no,yes,no,support,low
0.09,900.0,six,256.0,4+,no,yes,no,support,low
0.84,850.0,five,260.0,5+,no,yes,no,support,low
0.11,860.0,six,245.0,4+,no,yes,no,support,low
0.81,970.0,five,230.0,5+,no,yes,no,support,low
0.77,850.0,five,276.0,5+,no,yes,no,support,medium
0.42,470.0,two,137.0,3+,no,yes,no,support,medium
0.36,560.0,two,140.0,3+,no,yes,no,technical,medium
0.81,830.0,five,269.0,6+,no,yes,no,technical,medium
0.37,460.0,two,130.0,3+,yes,yes,no,technical,medium
0.1,960.0,six,264.0,4+,no,yes,no,management,medium
0.14,550.0,six,175.0,5+,no,yes,no,IT,medium
0.41,510.0,two,159.0,3+,no,yes,no,IT,medium
0.44,550.0,two,128.0,3+,no,yes,yes,IT,medium
0.82,940.0,five,232.0,5+,yes,yes,no,IT,medium
0.67,540.0,three,166.0,5+,no,yes,no,IT,medium
0.44,570.0,two,141.0,3+,no,yes,no,product_mng,medium
0.42,540.0,two,143.0,3+,no,yes,no,product_mng,high
0.84,830.0,four,239.0,5+,no,yes,no,product_mng,low
0.86,1000.0,four,232.0,5+,no,yes,no,product_mng,medium
0.56,860.0,five,252.0,2+,no,yes,no,IT,medium
0.09,930.0,six,255.0,4+,no,yes,no,RandD,medium
0.1,810.0,seven,270.0,4+,no,yes,no,RandD,medium
0.39,540.0,two,149.0,3+,no,yes,no,RandD,low
0.75,890.0,five,276.0,5+,no,yes,no,RandD,low
0.43,550.0,two,159.0,3+,no,yes,no,RandD,low
0.09,960.0,seven,274.0,5+,no,yes,no,marketing,low
0.83,940.0,four,264.0,5+,no,yes,no,sales,low
0.59,1000.0,three,156.0,4+,no,yes,no,accounting,low
0.44,540.0,two,135.0,3+,no,yes,no,support,low
0.38,490.0,two,128.0,3+,no,yes,no,technical,low
0.76,980.0,five,242.0,5+,no,yes,no,management,low
0.22,860.0,four,293.0,3+,no,yes,no,marketing,low
0.4,460.0,two,141.0,3+,no,yes,no,marketing,low
0.41,480.0,two,155.0,3+,no,yes,no,marketing,low
0.38,510.0,two,141.0,3+,no,yes,no,sales,low
0.45,680.0,four,212.0,4+,yes,yes,no,sales,low
0.39,560.0,two,160.0,3+,no,yes,no,sales,low
0.45,470.0,two,150.0,3+,no,yes,no,sales,low
0.42,530.0,two,132.0,3+,yes,yes,no,sales,low
0.1,870.0,six,248.0,4+,no,yes,no,sales,low
0.78,960.0,five,272.0,5+,no,yes,no,sales,low
0.39,560.0,two,160.0,3+,no,yes,no,sales,low
0.1,870.0,seven,299.0,4+,no,yes,no,sales,low
0.1,800.0,six,292.0,4+,no,yes,no,sales,medium
0.43,460.0,two,126.0,3+,no,yes,no,sales,medium
0.38,450.0,two,132.0,3+,no,yes,no,sales,medium
0.09,770.0,six,282.0,5+,no,yes,no,sales,medium
0.39,530.0,two,141.0,3+,no,yes,no,sales,medium
0.73,990.0,six,206.0,5+,no,yes,no,sales,medium
0.38,490.0,two,140.0,3+,no,yes,no,sales,medium
0.1,910.0,six,255.0,4+,no,yes,no,sales,medium
0.41,540.0,two,133.0,3+,no,yes,no,sales,medium
0.43,510.0,two,131.0,3+,no,yes,no,sales,medium
0.79,960.0,four,257.0,5+,no,yes,no,accounting,medium
0.1,810.0,six,269.0,4+,no,yes,no,accounting,medium
0.11,970.0,six,254.0,4+,no,yes,no,accounting,high
0.42,500.0,two,143.0,3+,no,yes,no,hr,low
0.36,510.0,two,157.0,3+,no,yes,no,hr,medium
0.63,930.0,five,163.0,3+,no,yes,no,hr,medium
0.41,560.0,two,133.0,3+,no,yes,no,hr,medium
0.36,460.0,two,157.0,3+,no,yes,no,technical,medium
0.1,900.0,six,301.0,5+,no,yes,no,technical,low
0.11,960.0,six,310.0,4+,no,yes,no,technical,low
0.44,540.0,two,133.0,3+,no,yes,no,technical,low
0.77,960.0,five,249.0,6+,no,yes,no,technical,low
0.91,1000.0,,251.0,6+,no,yes,no,technical,low
0.26,460.0,two,242.0,3+,no,yes,no,technical,low
0.81,930.0,five,265.0,6+,no,yes,no,technical,low
0.11,870.0,six,280.0,4+,no,yes,no,technical,low
0.92,890.0,four,241.0,5+,no,yes,no,technical,low
0.1,860.0,five,253.0,4+,no,yes,no,technical,low
0.45,510.0,two,137.0,3+,no,yes,no,support,low
0.11,940.0,six,266.0,4+,no,yes,no,support,low
0.23,700.0,five,168.0,4+,no,yes,no,support,low
0.86,950.0,four,270.0,5+,no,yes,no,support,low
0.44,550.0,two,141.0,3+,no,yes,no,support,low
0.41,560.0,two,133.0,3+,no,yes,no,support,low
0.84,970.0,five,256.0,5+,no,yes,no,support,low
0.42,520.0,two,160.0,3+,no,yes,no,support,low
0.11,880.0,seven,275.0,4+,no,yes,no,support,low
0.38,460.0,two,160.0,3+,no,yes,no,support,low
0.11,960.0,seven,244.0,4+,no,yes,no,support,low
0.1,830.0,six,271.0,4+,no,yes,no,technical,medium
0.86,880.0,five,268.0,5+,no,yes,no,technical,medium
0.91,1000.0,four,253.0,5+,yes,yes,no,technical,medium
0.37,530.0,two,140.0,3+,no,yes,no,management,medium
0.46,500.0,two,146.0,3+,no,yes,no,IT,medium
0.1,890.0,six,259.0,5+,no,yes,no,IT,medium
0.37,460.0,two,127.0,3+,no,yes,no,IT,medium
0.4,480.0,two,161.0,3+,no,yes,no,IT,medium
0.09,780.0,six,260.0,4+,no,yes,no,IT,medium
0.11,890.0,six,272.0,4+,no,yes,no,product_mng,medium
0.39,480.0,two,159.0,3+,no,yes,no,product_mng,medium
0.89,960.0,four,219.0,6+,no,yes,no,product_mng,medium
0.09,910.0,six,243.0,4+,no,yes,no,product_mng,high
0.88,970.0,four,255.0,5+,yes,yes,no,IT,low
0.11,900.0,seven,245.0,4+,no,yes,no,RandD,medium
0.1,950.0,six,264.0,5+,no,yes,no,RandD,medium
0.91,1000.0,four,245.0,6+,no,yes,no,RandD,medium
0.44,520.0,two,137.0,3+,no,yes,no,RandD,medium
0.63,760.0,two,157.0,4+,no,yes,no,RandD,low
0.1,870.0,seven,247.0,4+,no,yes,no,marketing,low
0.36,510.0,two,144.0,3+,no,yes,no,sales,low
0.45,510.0,two,149.0,3+,no,yes,no,accounting,low
0.73,1000.0,five,253.0,6+,no,yes,no,support,low
0.37,550.0,two,140.0,3+,no,yes,no,technical,low
0.09,850.0,seven,307.0,4+,no,yes,no,management,low
